movie_id;movie_slug;title;production_year;release_year;genre;duration_min;coproduction_country;status;director;screenplay_author;production_company;short_synopsis;synopsis_source;approx_budget;original_language
MOV-0071;DO-2017-la-otra-lucha;La Otra Lucha;2017;2022;drama;90;DO;released;Hans Christians García García;;Perseo Films, SRL;Un joven izquierdista dominicano, convencido de que existe un plan para cometer un fraude electoral en 1978, inicia lo que se convertirá para él en una nueva revolución.;imdb;71302507.78;spanish
MOV-0072;DO-2022-la-soga-3;La Soga 3;2022;2023;drama|action;85;DO;released;Manuel Agustín Pérez Batista;;Conuco Productions, SRL;Un sicario, impulsado por una implacable sed de venganza, descubre en el proceso que su amor por la familia es mucho más fuerte. Un amor que lo lleva a la muerte y reaviva un círculo vicioso de venganza.;imdb;32987842;spanish
MOV-0073;DO-2022-las-palmeras-bailan-solas;Las Palmeras Bailan Solas;2022;;documentary;90;DO;unreleased;Giancarlo Beras-Goico Mejía;;Timecode, SRL;La lucha por recuperar la industria turística dominicana durante la pandemia.;imdb;44553306;spanish
MOV-0074;DO-2020-un-matrimonio-perfecto;Un Matrimonio Perfecto;2020;;comedy;90;DO;unknown;Francisco De Jesús Disla Ferreira;;Canoa Films, SRL;;pending;;spanish
MOV-0075;DO-2017-milvio;Milvio;2017;2026;documentary|animation|action;72;DO;released;Milbert Skydiver Pérez Reynoso;;Milbo Productions, SRL;Milvio Pérez, Un fotógrafo que desafió el peligro en busca de imágenes para la historia. Los momentos más candentes de la historia dominicana, desde la caída del trujillato hasta pasada la revolución de abril, fueron detenidos por su cámara. Por eso sus fotos no sólo recorrieron el mundo en las primeras páginas de diarios nacionales e Internacionales, también están obligatoriamente en los libros que narran el acontecer de esos días. Sus fotos son, por sobre todo, el testimonio más fiel de sus desvelos de igualdad e inquietud por preservar en gráficas la historia de la república dominicana;youtube;37178810;spanish
MOV-0076;DO-2018-monstruos;Monstruos;2018;;drama;100;DO;unknown;Marlon Leonardo Soto Báez;;Toro Celeste, SRL;;pending;63672892.03;spanish
MOV-0077;DO-2021-morena-s;Morena (S);2021;2024;documentary;75;DO;released;Iván Lara Del Villar|Victoria María Rodríguez Apolinario;;Oggún Films, SRL;Una inmigrante dominicana en Buenos Aires lucha por mantener a flote su negocio y el sueño de traer a su hijo adolescente a Argentina.;imdb;11955404.2;spanish
MOV-0078;DO-2020-mundo-de-islas-imaginadas;Mundo De Islas Imaginadas;2020;;animation|adventure;70;DO;in_production;Richard  Eric Gluski;;Cocu Films, SRL;;pending;68939054;spanish
MOV-0079;DO-2021-musica-en-la-ciudad;Música En La Ciudad;2021;;documentary;120;DO;unknown;Esteban Pablo Martin;;Neom Films One, SRL;Música en la Ciudad es una exploración de los diversos géneros musicales de la República Dominicana. El documental profundiza en la historia de la bachata, el merengue, la salsa son, el reguetón y el palo, con entrevistas y comentarios de destacados artistas, músicos y productores de estos géneros.;imdb;20492398;spanish
MOV-0080;DO-2021-olivia-y-las-nubes;Olivia Y Las Nubes;2021;2025;animation;90;DO;released;Tomás Eduardo Pichardo Espaillat;;Antares Cine & Animación, SRL;Olivia y las nubes explora las complejidades del amor a través del efecto Rashomon. Olivia, atormentada por un amor pasado, lo esconde debajo de su cama. Intercambia flores con este fantasma a cambio de reconfortantes nubes de lluvia.;filmaffinity;72962184.31;spanish
