resolution_id,resolution_number,year,file_id,movie_id,pur_number,cpnd_number,incentive_article,resolution_type,investor_name,investor_rnc,local_company,producer_rnc,foreign_producer,film_title,request_date,resolution_date,validated_expenses_dop,tax_credit_dop,tax_credit_pct,total_budget_approved,total_budget_executed,extraction_confidence,needs_review,review_reasons,manually_reviewed,manual_note,source_file
11,CIPAC-2012-015,2012,,,007,004,art_34,approved,"CARIBBEAN FILMS DISTRIBUTION R&L, S.R.L.",1-30-34513-9,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-07-09,2012-07-19,1700000.0,1700000.0,100.0,29736672.0,10284540.0,0.9,0,,1,"total_budget_executed|set_manual|null|10284540.0|Propagated from sibling resolution CIPAC-2012-012 with same film title|cipac_2012_results.json|2026-08-13|JDP;;total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-015_validacion-de-inversion-caribbean-films-dstribution-feo-de-dia-lindo-de-noche.pdf
12,CIPAC-2012-016,2012,,,007,004,art_34,approved,"PARADIGM CARIBBEAN, S.R.L.",1-30-54712-2,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-07-09,2012-07-19,300000.0,300000.0,100.0,29736672.0,10284540.0,0.8,0,,1,"total_budget_executed|set_manual|null|10284540.0|Propagated from sibling resolution CIPAC-2012-013 with same film title|cipac_2012_results.json|2026-08-13|JDP;;total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-016_validacion-de-inversion-parandingm-caribbean-feo-de-dia-lindo-de-noche.pdf
13,CIPAC-2012-019,2012,,,007,004,art_34,approved,"CENTRO CUESTA NACIONAL, S.A.S.",1-01-01992-1,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-10-24,2012-11-06,2002522.0,2002522.0,100.0,29736672.0,23454762.0,0.9,0,,1,"total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-019_validacion-de-inversioncentro-cuesta-nacional-feo-de-dia-lindo-de-noche.pdf
14,CIPAC-2012-020,2012,,,007,004,art_34,approved,"SIGMA PETROLEUM CORP, S.R.L.",1-30-68916-4,"CINDERELO, S.R.L.",1-30-86801-8,,"FEO DE DÍA, LINDO DE NOCHE",2012-10-24,2012-11-06,7000000.0,7000000.0,100.0,29736672.0,23454762.0,0.7,0,,1,"producer_rnc|set_manual|null|1-30-88601-8|Azure read 1-30-886018 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-13|JDP;;cpnd_number|set_manual|null|004|OCR noise around CPND number in resolution text|Resolution PDF VISTOS section|2026-08-13|JDP;;total_budget_approved|set_manual|null|29736672.00|Amount sourced from CPND No. 004 Feo De Dia, Lindo De Noche not present in resolution PDF|CPND certificate No. 004|2026-08-13|JDP",resolucion-cipac-no-2012-020_validacion-de-inversion-sigma-petroleum-corp-feo-de-dia-lindo-de-noche.pdf
15,CIPAC-2013-001,2013,,,025,014,art_34,approved,"CÉSAR IGLESIAS, S.A.",1-01-01938-7,"LARIMAR FILMS, S.R.L.",1-30-90748-1,,LOS SUPER,2012-12-31,2013-01-21,27947419.68,27947419.68,100.0,47735623.0,31948192.87,0.9,0,,1,total_budget_approved|set_manual|null|47735623.00|Amount sourced from CPND No. 014 Los Súper not present in resolution PDF|CPND certificate No. 014|2026-08-12|JDP,resolucion-cipac-no-2013-001_validacion-de-inversion-cesar-iglesias-larimas-films-los-super.pdf
16,CIPAC-2013-002,2013,,,025,014,art_34,approved,"PARALLAX VALORES PUESTO DE BOLSA, S.A.",1-01-56714-7,"LARIMAR FILMS, S.R.L.",1-30-90748-1,,LOS SÚPER,2012-12-31,2013-01-21,4000000.0,4000000.0,100.0,47735623.0,31948192.87,0.7,0,,1,investor_rnc|set_manual|null|1-01-56714-7|Azure read 1-01-567147 missing hyphen in RNC format|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_executed|set_manual|null|31948192.87|OCR did not capture executed budget paragraph|Resolution PDF budget section|2026-08-12|JDP;;total_budget_approved|set_manual|null|47735623.00|Amount sourced from CPND No. 014 Los Súper not present in resolution PDF|CPND certificate No. 014|2026-08-12|JDP,resolucion-cipac-no-2013-002_validacion-de-inversion-parallax-valores-puesto-de-bolsa-larimar-films-los-super.pdf
17,CIPAC-2013-003,2013,,,020,010,art_34,approved,"COBINCA, S.A.",1-01-19447-2,"MAS FILMS, S.R.L.",1-30-89952-5,,PROFE POR ACCIDENTE,2012-12-10,2013-01-21,10000000.0,10000000.0,100.0,35849340.0,26013144.0,0.7,0,,1,investor_rnc|set_manual|null|1-01-19447-2|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;producer_rnc|set_manual|null|1-30-89952-5|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|35849340.00|Amount sourced from CPND No. 010 Profe Por Accidente not present in resolution PDF|CPND certificate No. 010|2026-08-12|JDP,resolucion-cipac-no-2013-003_validacion-de-inversion-cobinca-mas-films-profe-por-accidente.pdf
18,CIPAC-2013-004,2013,,,020,010,art_34,approved,"ALTICE DOMINICANA, S.A.",1-01-61678-7,"MAS FILMS, S.R.L.",1-30-89952-5,,PROFE POR ACCIDENTE,2012-12-10,2013-01-21,7000000.0,7000000.0,100.0,35849340.0,26013144.0,0.9,0,,1,total_budget_approved|set_manual|null|35849340.00|Amount sourced from CPND No. 010 Profe Por Accidente not present in resolution PDF|CPND certificate No. 010|2026-08-12|JDP,resolucion-cipac-no-2013-004_validacion-de-inversion-orange-dominicana-mas-films-profe-por-accidente.pdf
19,CIPAC-2013-005,2013,,,020,010,art_34,approved,"DISASHOP DOMINICANA, S.R.L.",1-30-17301-1,"MAS FILMS, S.R.L.",1-30-89952-5,,PROFE POR ACCIDENTE,2012-12-10,2013-01-21,4500000.0,4500000.0,100.0,35849340.0,26013144.0,0.8,0,,1,investor_rnc|set_manual|null|1-30-17301-1|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|35849340.00|Amount sourced from CPND No. 010 Profe Por Accidente not present in resolution PDF|CPND certificate No. 010|2026-08-12|JDP,resolucion-cipac-no-2013-005_validacion-de-inversion-disa-consulting-dominicana-mas-films-profe-por-accidente.pdf
20,CIPAC-2013-006,2013,,,020,010,art_34,approved,"CENTRO CUESTA NACIONAL, S.A.S.",1-01-01992-1,"MAS FILMS, S.R.L.",1-30-89952-5,,PROFE POR ACCIDENTE,2012-12-10,2013-01-21,3500000.0,3500000.0,100.0,35849340.0,26013144.0,0.8,0,,1,producer_rnc|set_manual|null|1-30-89952-5|Azure did not find RNC|Resolution PDF header p.1|2026-08-12|JDP;;total_budget_approved|set_manual|null|35849340.00|Amount sourced from CPND No. 010 Profe Por Accidente not present in resolution PDF|CPND certificate No. 010|2026-08-12|JDP,resolucion-cipac-no-2013-006_validacion-de-inversion-centro-cuesta-nacional-mas-films-profe-por-accidente.pdf
