year;resolution_number;status
2022;2022-055;Not found (404)
2022;2022-061;Not found (404)
2022;2022-062;Not found (404)
2022;2022-067;Not found (404)
2022;2022-168;Not found (404)
2022;2022-185;Not found (404)
2022;2022-186;Not found (404)
2022;2022-187;Not found (404)
2022;2022-188;Not found (404)
2022;2022-189;Not found (404)
2022;2022-190;Not found (404)
2022;2022-191;Not found (404)
2022;2022-192;Not found (404)
2022;2022-193;Not found (404)
2022;2022-194;Excluded by scraper
2022;2022-197;Not found (404)
2022;2022-199;Excluded by scraper
2022;2022-200;Excluded by scraper
2021;2021-112;Excluded by scraper
2021;2021-118;Excluded by scraper
2021;2021-119;Excluded by scraper
2021;2021-121;Excluded by scraper
2021;2021-133;Excluded by scraper
2020;2020-014;Excluded by scraper
2020;2020-015;Excluded by scraper
2020;2020-017;Excluded by scraper
2020;2020-027;Not found (404)
2020;2020-028;Not found (404)
2020;2020-029;Not found (404)
2020;2020-165;Excluded by scraper
2020;2020-182;Excluded by scraper
2020;2020-185;Excluded by scraper
2020;2020-201;Not found (404)
2020;2020-212;Excluded by scraper
2019;2019-121;Excluded by scraper
2018;2018-050;Not found (404)
2018;2018-213;Excluded by scraper
2018;2018-214;Excluded by scraper
2018;2018-231;Not found (404)
2018;2018-232;Not found (404)
2018;2018-233;Not found (404)
2018;2018-234;Not found (404)
2018;2018-235;Not found (404)
2018;2018-236;Not found (404)
2017;2017-053;Excluded by scraper
2017;2017-098;Excluded by scraper
2017;2017-099;Excluded by scraper
2017;2017-106;Excluded by scraper
2017;2017-107;Excluded by scraper
2017;2017-118;Excluded by scraper
2017;2017-119;Excluded by scraper
2017;2017-120;Not found (404)
2017;2017-121;Not found (404)
2017;2017-122;Excluded by scraper
2017;2017-123;Excluded by scraper
2016;2016-124;Excluded by scraper
2016;2016-189;Excluded by scraper
2015;2015-082;Excluded by scraper
2015;2015-083;Excluded by scraper
2015;2015-095;Excluded by scraper
2015;2015-096;Excluded by scraper
2015;2015-115;Excluded by scraper
2015;2015-123;Not found (404)
2014;2014-040;Excluded by scraper
2014;2014-045;Excluded by scraper
2014;2014-046;Excluded by scraper
2014;2014-047;Excluded by scraper
2014;2014-048;Excluded by scraper
2014;2014-052;Excluded by scraper
2014;2014-055;Excluded by scraper
2014;2014-057;Excluded by scraper
2014;2014-059;Excluded by scraper
2014;2014-060;Excluded by scraper
2013;2013-008;Excluded by scraper
2013;2013-013;Not found (404)
2013;2013-025;Excluded by scraper
2013;2013-026;Excluded by scraper
2013;2013-028;Excluded by scraper
2013;2013-029;Excluded by scraper
2013;2013-034;Not found (404)
2013;2013-039;Excluded by scraper
2013;2013-040;Excluded by scraper
2013;2013-041;Not found (404)
2012;2012-006;Excluded by scraper
2012;2012-007;Excluded by scraper
2012;2012-008;Excluded by scraper
2012;2012-009;Excluded by scraper
2012;2012-017;Excluded by scraper
2012;2012-018;Excluded by scraper
